#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
426,Matt Gage,SFG,3,3,0,56,0,56,7.93,3.25,0.94,0.3,73.50%,46.90%,3.81,3.93,0.2
427,Huascar Brazobán,NYM,3,2,0,52,0,52,8.6,3.93,1,0.291,73.50%,44.50%,3.91,4.13,0.2
428,JP Sears,SDP,2,2,0,19,3,33.2,8.19,2.31,1.54,0.284,72.80%,31.70%,4.33,4.47,0.2
429,Carlos Estévez,KCR,3,3,28,62,0,62,8.42,3.37,1.31,0.291,72.20%,32.70%,4.4,4.41,0.2
430,Andrew Morris,MIN,1,1,0,24,0,24,7.77,2.34,1.07,0.301,72.30%,44.50%,3.9,3.85,0.2
431,Jason Foley,SFG,1,1,0,23,0,23,7.94,2.6,0.83,0.307,72.60%,50.60%,3.64,3.55,0.2
432,Evan Sisk,PIT,2,2,0,40,0,40,8.21,3.9,0.84,0.304,73.50%,49.40%,3.81,3.96,0.2
433,Jonathan Pintaro,NYM,2,2,0,24,2,31.1,8.55,3.75,1,0.291,73.60%,46.20%,3.85,4.08,0.2
434,Erik Sabrowski,CLE,3,3,0,63,0,63,10.39,4.94,1.11,0.287,75.40%,37.00%,3.92,4.19,0.1
435,Chase Petty,CIN,2,3,0,33,3,48,7.18,3.66,1.36,0.296,71.50%,44.80%,4.7,4.84,0.1
436,Cole Sulser,TBR,3,3,0,56,0,56,8.17,3.32,1.16,0.292,73.20%,41.60%,4.07,4.22,0.1
437,Brent Headrick,NYY,2,2,0,42,0,42,9.13,3.01,1.28,0.284,75.20%,37.60%,3.84,4.1,0.1
438,Hunter Gaddis,CLE,3,3,3,61,0,61,8.7,2.88,1.29,0.289,73.10%,36.00%,4.09,4.16,0.1
439,Trevor Williams,WSN,1,2,0,24,2,30.2,7.49,2.29,1.34,0.294,72.00%,38.50%,4.27,4.28,0.1
440,Joey Lucchesi,LAA,3,3,0,54,0,54,6.9,3.3,1.06,0.302,72.70%,48.00%,4.15,4.34,0.1
441,Yohan Ramírez,PIT,3,3,0,56,0,56,8.7,3.65,0.94,0.303,72.30%,45.90%,3.99,4.07,0.1
442,John Brebbia,,2,2,0,35,0,35,8.94,3.14,1.33,0.288,73.20%,34.00%,4.18,4.24,0.1
443,Hagen Smith,CHW,1,1,0,3,3,18.1,8.61,4.92,1.22,0.293,73.00%,41.50%,4.51,4.78,0.1
444,Ryan Thompson,ARI,3,3,1,63,0,63,7.3,2.96,0.9,0.31,70.90%,50.20%,4.09,3.93,0.1
445,Adbert Alzolay,NYM,2,2,0,42,0,42,8.8,2.97,1.21,0.289,73.80%,40.20%,3.9,4.05,0.1
446,Tim Mayza,PHI,2,2,0,48,0,48,7.34,3.29,1.02,0.301,73.10%,49.90%,4,4.18,0.1
447,Kyle Nicolas,CIN,2,2,0,42,0,42,9.44,4.18,1.22,0.294,73.80%,41.00%,4.19,4.33,0.1
448,Ryan Borucki,SFG,3,3,0,54,0,54,8.75,3.41,0.91,0.299,73.70%,47.90%,3.7,3.81,0.1
449,DL Hall,MIL,3,3,0,52,0,52,8.96,3.8,1.1,0.292,74.40%,41.20%,3.9,4.13,0.1
450,Bailey Falter,KCR,4,4,0,53,5,74,7.09,2.8,1.43,0.296,71.10%,36.50%,4.65,4.64,0.1
451,Nate Pearson,HOU,2,2,0,50,0,50,9.03,3.84,1.27,0.291,72.70%,38.30%,4.32,4.38,0.1
452,Blade Tidwell,SFG,2,2,0,20,3,35,7.86,3.38,1.21,0.291,71.80%,40.80%,4.31,4.39,0.1
453,Gunnar Hoglund,ATH,3,4,0,28,6,58.2,6.88,2.8,1.45,0.295,70.50%,40.20%,4.74,4.77,0.1
454,Carson Seymour,SFG,2,2,0,17,3,32,7.28,3.24,0.95,0.303,71.60%,51.20%,4.09,4.12,0.1
455,Braden Nett,ATH,2,2,0,19,3,34.1,7.57,4.17,1.15,0.298,71.60%,45.70%,4.52,4.64,0.1
456,Ryan Brasier,,2,2,0,34,0,34,8.24,2.75,1.15,0.297,72.60%,41.90%,4,3.98,0.1
457,Colton Gordon,HOU,1,1,0,24,0,24,8.22,2.21,1.35,0.29,73.80%,38.40%,3.96,4.1,0.1
458,Joe Rock,TBR,1,1,0,12,2,19.1,7.19,2.78,1.14,0.296,72.50%,45.20%,4.08,4.24,0.1
459,Joe Jiménez,ATL,1,1,0,16,0,16,10.02,3,1.12,0.295,73.70%,35.80%,3.77,3.65,0.1
460,Brandon Young,BAL,1,1,0,19,2,26,8.14,2.54,1.34,0.298,72.60%,41.10%,4.23,4.2,0.1
461,Brennan Bernardino,COL,3,3,0,58,0,58,8.23,3.97,1.12,0.317,71.80%,45.90%,4.52,4.41,0.1
462,Ty Madden,DET,1,1,0,16,2,23.1,7.99,3.26,1.19,0.291,72.00%,39.70%,4.24,4.28,0.1
463,Peyton Gray,TEX,2,2,0,34,0,34,8.55,3.39,1.16,0.297,72.90%,41.90%,4.12,4.15,0.1
